,_away_team_id,_home_team_id,away_score,away_team,home_score,home_team,is_playoff,matchup_type,game_id,home_owner_displayName,home_owner_id,week,season,is_tie,is_bye,away_owner_displayName,away_owner_id,winner,loser,point_difference
863,10,9,89.0,Team(2 Str8 Dudes In a Twin Bed),142.0,Team(Cucamonga Crack'a Killaz ),True,WINNERS_CONSOLATION_LADDER,2712a048-42ad-4ea9-976c-f512112a1138,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},15,2017,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},Dieselbaron,adrenth01,53.0
864,13,4,101.0,Team(Team Bangarang),117.0,Team(Rich's Bitches),True,LOSERS_CONSOLATION_LADDER,40b43d79-6df7-42dc-a4c6-ba952bac72f8,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},15,2017,False,False,CheezeBallHustle,{D3C2EF9C-E296-4150-82EF-9CE296F1506A},RichoSuave,CheezeBallHustle,16.0
865,11,12,78.0,Team(Beats by Ray .),99.0,Team(A Team Has  No Name),True,LOSERS_CONSOLATION_LADDER,f8cb51de-a110-48cd-b3ea-1bdd6d9fb6bc,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},15,2017,False,False,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},juicebox269,joe52690,21.0
866,7,5,59.0,Team(SCLSU Mud Doggs),109.0,Team(Team Double Dragon),True,LOSERS_CONSOLATION_LADDER,4254524a-8eaa-48f8-896f-b77a19de3618,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},15,2017,False,False,njohnson9352,{79753C2B-58B1-4142-9639-04366A32FC38},jstoll65,njohnson9352,50.0
867,2,8,173.0,Team(Twat  Waffles),135.0,Team(STEVE FRENCH's Samsquantches),True,WINNERS_BRACKET,00ce44d1-a601-48af-a847-c4eab184989a,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},16,2017,False,False,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},jmuggy20,b50rock,38.0
868,1,6,132.0,Team(Team Tacky Dick),169.0,Team(Black Man Feel it Feel it),True,WINNERS_CONSOLATION_LADDER,8ae773c4-4169-4e6a-8245-32dc179134d8,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},16,2017,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},Rodney19140,kevinconklin05,37.0
869,10,9,149.0,Team(2 Str8 Dudes In a Twin Bed),89.0,Team(Cucamonga Crack'a Killaz ),True,WINNERS_CONSOLATION_LADDER,409ba698-9e65-4e8e-8090-a99af9aed457,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},16,2017,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},adrenth01,Dieselbaron,60.0
870,12,4,83.0,Team(A Team Has  No Name),111.0,Team(Rich's Bitches),True,LOSERS_CONSOLATION_LADDER,745e92c0-9a60-4281-a7f3-cb876e5faff0,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},16,2017,False,False,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},RichoSuave,juicebox269,28.0
871,13,5,73.0,Team(Team Bangarang),109.0,Team(Team Double Dragon),True,LOSERS_CONSOLATION_LADDER,b52cb8d1-f3a9-4cf2-8fbb-b2917898b84a,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},16,2017,False,False,CheezeBallHustle,{D3C2EF9C-E296-4150-82EF-9CE296F1506A},jstoll65,CheezeBallHustle,36.0
872,11,7,124.0,Team(Beats by Ray .),80.0,Team(SCLSU Mud Doggs),True,LOSERS_CONSOLATION_LADDER,b49ffc97-53c2-4e5d-8522-e2977de81db2,njohnson9352,{79753C2B-58B1-4142-9639-04366A32FC38},16,2017,False,False,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},joe52690,njohnson9352,44.0
873,1,2,170.0,Team(Team Tacky Dick),151.0,Team(Twat Waffles),False,NONE,a9a622b4-7d6e-4ea3-bd18-29fc2c4a059f,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},1,2018,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},kevinconklin05,jmuggy20,19.0
874,13,11,140.0,Team(Team Bangarang),146.0,Team(Beats by Ray .),False,NONE,c2e75919-77cd-4637-8126-444b98851d7d,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},1,2018,False,False,CheezeBallHustle,{D3C2EF9C-E296-4150-82EF-9CE296F1506A},joe52690,CheezeBallHustle,6.0
875,9,4,153.0,Team(Cucamonga Crack'a Killaz ),97.0,Team(Rich's Bitches),False,NONE,35e47bbd-4e0d-433e-a755-be677037d09a,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},1,2018,False,False,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},Dieselbaron,RichoSuave,56.0
876,10,5,135.0,Team(2 Str8 Dudes In a Twin Bed),154.0,Team(Team Double Dragon),False,NONE,c14b3914-f80e-4192-8264-03883da30a2f,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},1,2018,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},jstoll65,adrenth01,19.0
877,8,6,118.0,Team(THE Miami Demon Dolphins),119.0,Team(Black Man Feel it Feel it),False,NONE,bd2221bf-02b1-4a0f-bac7-0663cfa5275d,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},1,2018,False,False,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},Rodney19140,b50rock,1.0
878,7,12,137.0,Team(You Can Call Me Daddy),108.0,Team(Kerryon My Wayward Son),False,NONE,04fd4900-2ded-4879-8a37-2f3bd90680e5,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},1,2018,False,False,njohnson9352,{79753C2B-58B1-4142-9639-04366A32FC38},njohnson9352,juicebox269,29.0
879,13,2,139.0,Team(Team Bangarang),135.0,Team(Twat Waffles),False,NONE,25ec8d94-f3d8-4f0d-8395-e0d94d94ba95,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},2,2018,False,False,CheezeBallHustle,{D3C2EF9C-E296-4150-82EF-9CE296F1506A},CheezeBallHustle,jmuggy20,4.0
