,_away_team_id,_home_team_id,away_score,away_team,home_score,home_team,is_playoff,matchup_type,game_id,home_owner_displayName,home_owner_id,week,season,is_tie,is_bye,away_owner_displayName,away_owner_id,winner,loser,point_difference
1163,6,11,105.0,Team(Black Man Feel it Feel it),96.0,Team(country road take mahomes),True,LOSERS_CONSOLATION_LADDER,230f773d-c0fc-49dd-85a0-7a11ecba666e,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},16,2020,False,False,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},Rodney19140,joe52690,9.0
1164,2,13,196.0,Team(Twat  Waffles ),155.0,Team(Brady's  Deflated Balls),False,NONE,9ab09f5e-76e7-4722-806c-ea26dd643ef6,frolickingjester,{0133E548-B275-4F89-B8B7-340D9C8A6B8F},1,2021,False,False,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},jmuggy20,frolickingjester,41.0
1165,1,4,86.0,Team(Team Tacky Dick),160.0,Team(Rich's Bitches),False,NONE,570f85e3-744b-48e9-acfa-a86f792fd856,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},1,2021,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},RichoSuave,kevinconklin05,74.0
1166,9,11,148.0,Team(Cucamonga Crack'a Killaz ),124.0,Team(country road take mahomes),False,NONE,edf71012-aeb9-42a0-9c55-237ab95a0d71,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},1,2021,False,False,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},Dieselbaron,joe52690,24.0
1167,8,5,145.0,Team(Tompa Brady Fuckaneers),122.0,Team(Team Double Dragon),False,NONE,a9ef15c3-ceaf-49b3-82a3-395d682fea31,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},1,2021,False,False,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},b50rock,jstoll65,23.0
1168,10,7,124.0,Team(The Cream),149.0,Team(Kame  Hame Ha),False,NONE,fc056d42-38ba-41ba-86c2-e324c1760c39,espn75676325,{30361C1B-B214-4449-8054-E2FD70FD237D},1,2021,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},espn75676325,adrenth01,25.0
1169,12,6,121.0,Team(Booty Cheeks),123.0,Team(Black Man Feel it Feel it),False,NONE,014ec0ec-67a4-4ad0-9634-1f63f7f30af3,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},1,2021,False,False,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},Rodney19140,juicebox269,2.0
1170,1,13,92.0,Team(Team Tacky Dick),154.0,Team(Brady's  Deflated Balls),False,NONE,2e0b6f63-30a9-4117-9537-65f977233118,frolickingjester,{0133E548-B275-4F89-B8B7-340D9C8A6B8F},2,2021,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},frolickingjester,kevinconklin05,62.0
1171,2,9,128.0,Team(Twat  Waffles ),108.0,Team(Cucamonga Crack'a Killaz ),False,NONE,2b1cc945-986d-4f5b-87e7-6f74bcd80da3,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},2,2021,False,False,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},jmuggy20,Dieselbaron,20.0
1172,4,11,175.0,Team(Rich's Bitches),92.0,Team(country road take mahomes),False,NONE,90d3f448-6c8d-462f-9609-6ac609449e91,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},2,2021,False,False,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},RichoSuave,joe52690,83.0
